Date,Open,High,Low,Close,Adj. Close,Volume
"Sep 2, 2025",951.00,954.80,944.00,944.50,944.50,"14,196,320"
"Sep 1, 2025",949.60,957.45,946.35,950.60,950.60,"20,178,344"
"Aug 29, 2025",954.00,963.30,950.10,951.60,951.60,"14,823,813"
"Aug 28, 2025",967.00,972.20,955.00,957.80,957.80,"25,438,255"
"Aug 26, 2025",979.50,985.70,968.00,973.40,973.40,"16,917,731"
"Aug 25, 2025",980.10,988.70,978.50,982.05,982.05,"17,518,044"
"Aug 22, 2025",994.95,998.00,978.55,982.30,982.30,"19,833,502"
"Aug 21, 2025",998.75,998.75,991.60,995.60,995.60,"12,439,850"
"Aug 20, 2025",993.50,996.00,989.50,994.10,994.10,"9,950,228"
"Aug 19, 2025",999.15,"1,003.05",993.35,995.55,995.55,"12,352,438"
"Aug 18, 2025","1,005.00","1,013.30",997.80,"1,001.80","1,001.80","19,284,796"
"Aug 14, 2025",989.00,998.00,985.60,995.55,995.55,"17,511,716"
"Aug 13, 2025",997.00,997.00,984.55,990.15,990.15,"13,577,396"
"Aug 12, 2025",995.95,998.00,983.75,984.95,984.95,"12,937,802"
"Aug 11, 2025",987.95,998.80,986.55,997.80,997.80,"9,105,854"
"Aug 8, 2025",993.55,996.40,985.00,986.95,986.95,"13,895,264"
"Aug 7, 2025",990.05,"1,000.80",988.40,997.70,997.70,"13,081,186"
"Aug 6, 2025",985.55,994.00,985.00,992.65,992.65,"14,080,204"
"Aug 5, 2025",993.25,997.20,982.75,988.80,988.80,"23,978,058"
"Aug 4, 2025","1,005.05","1,009.25",994.05,996.00,996.00,"13,933,946"
"Aug 1, 2025","1,007.00","1,014.15","1,004.65","1,006.10","1,006.10","11,317,258"
"Jul 31, 2025","1,007.30","1,015.70","1,004.00","1,009.10","1,009.10","22,183,032"
"Jul 30, 2025","1,014.00","1,016.30","1,008.50","1,012.90","1,012.90","15,154,036"
"Jul 29, 2025",999.95,"1,013.25",998.15,"1,010.80","1,010.80","19,895,696"
"Jul 28, 2025","1,001.50","1,010.70","1,000.25","1,004.25","1,004.25","12,059,580"
"Jul 25, 2025","1,007.50","1,007.50",999.50,"1,002.30","1,002.30","9,306,598"
"Jul 24, 2025","1,018.85","1,018.85","1,004.20","1,007.10","1,004.60","19,107,176"
"Jul 23, 2025","1,005.50","1,014.90","1,001.50","1,012.15","1,009.64","13,634,916"
"Jul 22, 2025","1,006.55","1,009.00","1,001.50","1,003.55","1,001.06","14,836,814"
"Jul 21, 2025",989.10,"1,001.00",988.25,"1,000.25",997.77,"22,309,078"
"Jul 18, 2025",993.45,998.50,976.50,978.70,976.27,"16,129,446"
"Jul 17, 2025","1,002.00","1,002.40",991.35,993.45,990.98,"22,529,158"
"Jul 16, 2025","1,009.00","1,011.35",996.30,998.15,995.67,"17,994,612"
"Jul 15, 2025",986.50,"1,001.80",986.50,997.75,995.27,"14,498,168"
"Jul 14, 2025",991.50,994.35,985.30,991.50,989.04,"13,088,850"
"Jul 11, 2025",999.00,"1,002.40",990.45,991.85,989.39,"12,516,922"
"Jul 10, 2025","1,008.00","1,008.50","1,000.00","1,003.10","1,000.61","17,030,310"
"Jul 9, 2025","1,003.50","1,006.90",999.05,"1,005.60","1,003.10","13,861,428"
"Jul 8, 2025",988.50,"1,002.50",988.50,"1,000.70",998.22,"15,224,316"
"Jul 7, 2025",994.50,999.20,991.90,993.70,991.23,"11,349,426"
"Jul 4, 2025",993.55,"1,001.75",990.00,994.65,992.18,"7,863,944"
"Jul 3, 2025",997.45,"1,004.00",992.15,993.55,991.08,"16,860,506"
"Jul 2, 2025","1,009.95","1,009.95",988.95,993.00,990.54,"18,878,250"
"Jul 1, 2025","1,002.50","1,008.00","1,002.00","1,006.05","1,003.55","14,389,386"
"Jun 30, 2025","1,005.75","1,006.90",997.75,"1,000.75",998.27,"13,649,020"
"Jun 27, 2025","1,006.50","1,009.90",996.70,"1,007.45","1,004.95","28,213,384"
"Jun 26, 2025",990.70,"1,013.55",990.00,"1,010.90",997.42,"50,084,830"
"Jun 25, 2025",983.00,991.00,981.95,990.10,976.90,"18,405,932"
"Jun 24, 2025",982.50,989.50,977.80,980.45,967.37,"22,625,322"
"Jun 23, 2025",974.20,978.95,970.90,974.20,961.21,"11,739,518"
"Jun 20, 2025",965.80,984.95,965.80,982.35,969.25,"32,900,408"
"Jun 19, 2025",966.95,973.40,962.80,967.65,954.74,"16,876,220"
"Jun 18, 2025",958.50,968.15,958.50,966.95,954.05,"18,433,816"
"Jun 17, 2025",968.50,970.80,959.55,964.80,951.93,"16,978,736"
"Jun 16, 2025",962.00,969.45,960.05,967.70,954.79,"16,513,746"
"Jun 13, 2025",960.00,966.50,956.50,958.80,946.01,"12,117,762"
"Jun 12, 2025",975.00,980.50,967.65,971.70,958.74,"16,349,130"
"Jun 11, 2025",983.80,983.80,973.50,975.20,962.19,"11,096,394"
"Jun 10, 2025",991.40,991.40,980.55,982.65,969.54,"15,533,126"
"Jun 9, 2025",997.50,997.50,987.95,989.45,976.25,"13,202,588"
"Jun 6, 2025",972.00,998.15,971.35,989.35,976.16,"30,127,008"
"Jun 5, 2025",974.00,979.45,970.10,974.80,961.80,"22,255,418"
"Jun 4, 2025",960.50,971.65,960.45,970.60,957.66,"12,961,542"
"Jun 3, 2025",969.00,976.00,960.00,962.30,949.47,"24,377,584"
"Jun 2, 2025",965.05,968.00,954.00,966.05,953.17,"14,668,822"
"May 30, 2025",965.95,974.40,962.70,972.45,959.48,"28,748,078"
"May 29, 2025",964.00,970.40,953.65,963.75,950.90,"28,917,794"
"May 28, 2025",960.10,967.25,958.85,961.75,948.92,"18,157,594"
"May 27, 2025",965.80,974.00,958.15,963.15,950.30,"26,162,148"
"May 26, 2025",967.50,974.95,963.45,970.10,957.16,"10,802,860"
"May 23, 2025",960.05,968.50,957.25,966.80,953.91,"9,566,072"
"May 22, 2025",957.60,962.10,952.60,959.95,947.15,"21,306,670"
"May 21, 2025",963.50,973.45,960.55,963.40,950.55,"15,132,040"
"May 20, 2025",964.05,967.30,956.50,957.45,944.68,"23,879,090"
"May 19, 2025",968.50,972.50,965.50,969.35,956.42,"10,202,964"
"May 16, 2025",966.90,971.90,964.20,967.35,954.45,"15,868,010"
"May 15, 2025",956.75,972.40,948.50,966.90,954.00,"32,241,458"
"May 14, 2025",961.05,965.10,951.50,955.30,942.56,"15,445,308"
"May 13, 2025",975.00,980.85,960.00,961.30,948.48,"24,242,102"
"May 12, 2025",958.80,979.95,956.15,978.60,965.55,"18,618,972"
"May 9, 2025",955.05,959.50,943.40,944.85,932.25,"17,188,796"
"May 8, 2025",977.40,977.40,959.55,964.25,951.39,"34,803,430"
"May 7, 2025",967.00,974.35,961.20,972.80,959.83,"21,420,778"
"May 6, 2025",965.00,970.05,962.15,965.85,952.97,"17,490,156"
"May 5, 2025",969.50,976.00,966.15,968.40,955.48,"15,068,024"
"May 2, 2025",964.90,970.95,960.00,960.95,948.13,"17,840,404"
"Apr 30, 2025",956.50,968.45,955.15,962.50,949.66,"31,936,870"
"Apr 29, 2025",959.40,964.40,950.10,954.40,941.67,"18,918,308"
"Apr 28, 2025",955.60,964.85,954.20,960.10,947.30,"13,920,492"
"Apr 25, 2025",962.40,966.50,945.90,955.60,942.86,"18,500,878"
"Apr 24, 2025",955.00,961.95,952.55,958.40,945.62,"25,931,754"
"Apr 23, 2025",989.45,989.45,960.25,961.95,949.12,"30,570,642"
"Apr 22, 2025",967.50,985.30,967.50,980.85,967.77,"45,961,750"
"Apr 21, 2025",962.00,975.35,955.00,963.55,950.70,"34,247,298"
"Apr 17, 2025",941.00,959.85,938.35,953.35,940.64,"35,703,084"
"Apr 16, 2025",941.90,941.90,930.25,939.00,926.48,"19,136,820"
"Apr 15, 2025",932.50,938.40,927.50,932.45,920.01,"49,298,344"
"Apr 11, 2025",887.38,909.70,887.38,903.38,891.33,"32,775,766"
"Apr 9, 2025",882.50,887.50,876.75,882.50,870.73,"22,454,608"
"Apr 8, 2025",882.50,891.00,875.15,884.58,872.78,"35,563,872"
"Apr 7, 2025",881.40,889.92,869.10,878.85,867.13,"37,995,450"
"Apr 4, 2025",906.50,920.97,905.55,908.65,896.53,"33,540,454"
"Apr 3, 2025",890.55,902.00,888.50,897.42,885.46,"11,250,038"
"Apr 2, 2025",885.35,899.60,885.35,898.45,886.47,"11,573,564"
"Apr 1, 2025",901.00,904.95,882.67,883.92,872.14,"28,511,006"
"Mar 28, 2025",914.50,918.00,902.92,914.10,901.91,"28,773,648"
"Mar 27, 2025",900.00,920.50,899.05,912.67,900.50,"41,658,100"
"Mar 26, 2025",912.50,913.75,901.00,903.28,891.23,"24,478,442"
"Mar 25, 2025",902.45,921.85,900.75,910.72,898.58,"39,101,416"
"Mar 24, 2025",889.50,902.20,886.83,900.00,888.00,"17,393,736"
"Mar 21, 2025",877.78,887.05,877.78,885.17,873.37,"33,508,264"
"Mar 20, 2025",877.00,887.00,874.65,884.38,872.58,"17,833,978"
"Mar 19, 2025",867.50,875.50,866.10,872.05,860.42,"15,221,406"
"Mar 18, 2025",855.20,855.20,855.20,855.20,843.79,-
"Mar 17, 2025",852.50,862.00,852.50,855.20,843.79,"18,950,652"
"Mar 13, 2025",858.03,860.40,850.03,853.30,841.92,"15,736,264"
"Mar 12, 2025",845.78,859.25,845.78,855.58,844.16,"18,784,106"
"Mar 11, 2025",841.20,847.00,835.03,842.75,831.51,"19,898,430"
