Date,Open,High,Low,Close,Adj. Close,Volume
"Sep 24, 2025","1,385.30","1,396.00","1,380.40","1,383.00","1,383.00","5,922,759"
"Sep 23, 2025","1,391.00","1,395.00","1,376.80","1,389.80","1,389.80","14,014,702"
"Sep 22, 2025","1,403.90","1,410.70","1,388.00","1,390.60","1,390.60","7,757,970"
"Sep 19, 2025","1,414.90","1,417.00","1,403.60","1,407.40","1,407.40","13,461,373"
"Sep 18, 2025","1,420.40","1,422.00","1,410.70","1,415.00","1,415.00","9,332,642"
"Sep 17, 2025","1,407.00","1,416.20","1,406.90","1,413.80","1,413.80","7,519,417"
"Sep 16, 2025","1,404.70","1,408.00","1,398.20","1,405.30","1,405.30","8,686,961"
"Sep 15, 2025","1,393.00","1,400.80","1,388.60","1,399.30","1,399.30","5,396,697"
"Sep 12, 2025","1,383.30","1,396.30","1,380.50","1,395.00","1,395.00","7,403,368"
"Sep 11, 2025","1,376.00","1,385.50","1,375.00","1,383.30","1,383.30","9,766,072"
"Sep 10, 2025","1,383.90","1,388.50","1,374.10","1,377.00","1,377.00","7,790,815"
"Sep 9, 2025","1,376.60","1,381.20","1,368.70","1,376.20","1,376.20","9,754,452"
"Sep 8, 2025","1,380.00","1,386.00","1,372.40","1,378.50","1,378.50","6,986,720"
"Sep 5, 2025","1,363.00","1,381.00","1,359.30","1,375.00","1,375.00","5,777,575"
"Sep 4, 2025","1,371.80","1,374.00","1,357.10","1,359.30","1,359.30","13,223,177"
"Sep 3, 2025","1,369.70","1,376.50","1,360.50","1,372.60","1,372.60","7,847,563"
"Sep 2, 2025","1,354.80","1,384.50","1,354.50","1,366.50","1,366.50","11,517,006"
"Sep 1, 2025","1,356.00","1,363.20","1,340.60","1,353.90","1,353.90","11,232,238"
"Aug 29, 2025","1,381.10","1,403.50","1,350.00","1,357.20","1,357.20","18,758,842"
"Aug 28, 2025","1,389.90","1,392.20","1,366.50","1,385.90","1,385.90","13,161,813"
"Aug 26, 2025","1,408.00","1,410.00","1,381.60","1,384.90","1,384.90","12,145,259"
"Aug 25, 2025","1,414.70","1,419.50","1,405.70","1,412.60","1,412.60","5,979,407"
"Aug 22, 2025","1,420.00","1,423.40","1,407.90","1,409.20","1,409.20","5,818,868"
"Aug 21, 2025","1,425.00","1,431.90","1,420.30","1,424.80","1,424.80","11,021,323"
"Aug 20, 2025","1,413.00","1,424.90","1,410.00","1,413.00","1,413.00","8,725,641"
"Aug 19, 2025","1,390.00","1,421.00","1,389.10","1,420.10","1,420.10","14,384,719"
"Aug 18, 2025","1,390.00","1,394.90","1,377.00","1,381.70","1,381.70","11,785,109"
"Aug 14, 2025","1,377.30","1,380.70","1,370.10","1,373.80","1,373.80","7,126,128"
"Aug 13, 2025","1,388.00","1,391.80","1,377.50","1,382.60","1,377.10","7,457,021"
"Aug 12, 2025","1,381.90","1,401.90","1,375.20","1,380.40","1,374.91","12,244,664"
"Aug 11, 2025","1,370.00","1,388.00","1,361.20","1,386.20","1,380.69","9,997,486"
"Aug 8, 2025","1,385.00","1,397.20","1,365.00","1,367.80","1,362.36","8,793,606"
"Aug 7, 2025","1,387.70","1,393.70","1,366.00","1,389.40","1,383.87","9,976,705"
"Aug 6, 2025","1,391.90","1,395.90","1,383.30","1,392.80","1,387.26","5,834,312"
"Aug 5, 2025","1,411.00","1,411.00","1,388.10","1,391.70","1,386.16","9,315,972"
"Aug 4, 2025","1,395.10","1,416.10","1,391.70","1,411.50","1,405.89","6,312,820"
"Aug 1, 2025","1,386.90","1,405.90","1,384.30","1,393.70","1,388.16","10,321,171"
"Jul 31, 2025","1,388.10","1,402.60","1,382.20","1,390.20","1,384.67","17,065,827"
"Jul 30, 2025","1,418.10","1,423.30","1,401.30","1,410.10","1,404.49","7,209,849"
"Jul 29, 2025","1,383.00","1,420.20","1,383.00","1,417.10","1,411.46","10,750,072"
"Jul 28, 2025","1,392.30","1,407.80","1,385.00","1,387.60","1,382.08","7,748,361"
"Jul 25, 2025","1,398.90","1,401.00","1,384.10","1,391.70","1,386.16","11,854,722"
"Jul 24, 2025","1,419.20","1,423.00","1,396.00","1,402.90","1,397.32","14,740,507"
"Jul 23, 2025","1,426.00","1,426.00","1,414.40","1,424.60","1,418.93","8,354,596"
