Date,Open,High,Low,Close,Adj. Close,Volume
"Sep 22, 2025","1,403.90","1,409.90","1,397.20","1,401.50","1,401.50","8,847,948"
"Sep 19, 2025","1,416.10","1,418.00","1,400.20","1,402.20","1,402.20","13,457,344"
"Sep 18, 2025","1,431.10","1,432.80","1,415.30","1,421.70","1,421.70","8,130,537"
"Sep 17, 2025","1,420.10","1,426.10","1,416.40","1,419.20","1,419.20","7,484,283"
"Sep 16, 2025","1,414.00","1,424.90","1,413.70","1,421.60","1,421.60","8,213,151"
"Sep 15, 2025","1,422.00","1,426.80","1,416.30","1,419.40","1,419.40","5,845,637"
"Sep 12, 2025","1,405.10","1,419.70","1,400.10","1,417.70","1,417.70","7,770,038"
"Sep 11, 2025","1,398.00","1,408.00","1,396.00","1,401.60","1,401.60","10,192,026"
"Sep 10, 2025","1,410.00","1,413.70","1,402.10","1,403.90","1,403.90","7,452,347"
"Sep 9, 2025","1,399.00","1,407.50","1,395.20","1,403.70","1,403.70","6,470,679"
"Sep 8, 2025","1,402.20","1,410.60","1,397.60","1,402.70","1,402.70","5,880,943"
"Sep 5, 2025","1,411.00","1,411.50","1,387.70","1,402.80","1,402.80","6,621,077"
"Sep 4, 2025","1,409.90","1,415.10","1,401.90","1,405.50","1,405.50","10,564,859"
"Sep 3, 2025","1,389.00","1,400.00","1,384.20","1,397.00","1,397.00","9,813,382"
"Sep 2, 2025","1,413.90","1,413.90","1,390.00","1,394.20","1,394.20","7,163,073"
"Sep 1, 2025","1,398.10","1,412.40","1,398.10","1,411.00","1,411.00","4,927,348"
"Aug 29, 2025","1,392.10","1,405.00","1,392.10","1,397.80","1,397.80","8,519,507"
"Aug 28, 2025","1,408.00","1,411.80","1,396.30","1,399.10","1,399.10","12,990,789"
"Aug 26, 2025","1,427.90","1,427.90","1,413.10","1,416.60","1,416.60","8,720,155"
"Aug 25, 2025","1,435.90","1,435.90","1,424.00","1,433.20","1,433.20","6,738,427"
"Aug 22, 2025","1,444.30","1,446.00","1,429.40","1,436.40","1,436.40","6,657,207"
"Aug 21, 2025","1,440.10","1,447.80","1,436.40","1,446.00","1,446.00","6,238,645"
"Aug 20, 2025","1,432.60","1,435.90","1,423.00","1,430.60","1,430.60","5,817,858"
"Aug 19, 2025","1,431.10","1,438.50","1,426.30","1,436.30","1,436.30","6,709,554"
"Aug 18, 2025","1,450.00","1,452.40","1,431.00","1,434.60","1,434.60","6,908,844"
"Aug 14, 2025","1,412.00","1,431.10","1,412.00","1,427.30","1,427.30","7,577,793"
"Aug 13, 2025","1,424.60","1,427.70","1,415.20","1,420.80","1,420.80","9,009,465"
"Aug 12, 2025","1,431.00","1,433.80","1,420.10","1,422.00","1,422.00","5,913,947"
"Aug 11, 2025","1,427.90","1,438.40","1,420.40","1,436.60","1,425.60","8,492,484"
"Aug 8, 2025","1,445.90","1,447.60","1,432.00","1,435.90","1,424.91","5,415,511"
"Aug 7, 2025","1,441.10","1,447.90","1,429.10","1,440.30","1,429.27","7,432,535"
"Aug 6, 2025","1,442.30","1,454.00","1,441.60","1,443.60","1,432.55","7,805,252"
"Aug 5, 2025","1,453.00","1,461.50","1,441.00","1,444.40","1,433.34","14,799,343"
"Aug 4, 2025","1,476.80","1,478.80","1,461.30","1,463.20","1,452.00","6,140,054"
"Aug 1, 2025","1,480.40","1,485.10","1,469.80","1,471.60","1,460.33","4,416,771"
"Jul 31, 2025","1,469.90","1,494.50","1,464.00","1,481.40","1,470.06","12,406,146"
"Jul 30, 2025","1,487.70","1,488.50","1,477.30","1,482.40","1,471.05","7,238,625"
"Jul 29, 2025","1,479.90","1,489.80","1,475.40","1,486.20","1,474.82","9,776,027"
"Jul 28, 2025","1,477.10","1,493.80","1,477.10","1,488.40","1,477.00","7,507,479"
"Jul 25, 2025","1,500.00","1,500.00","1,473.60","1,477.10","1,465.79","8,696,077"
"Jul 24, 2025","1,487.70","1,488.70","1,478.10","1,483.40","1,472.04","6,700,578"
"Jul 23, 2025","1,482.90","1,490.00","1,472.60","1,488.60","1,477.20","11,974,174"
"Jul 22, 2025","1,474.10","1,482.00","1,469.70","1,473.60","1,462.32","8,930,165"
"Jul 21, 2025","1,448.00","1,467.70","1,437.00","1,465.80","1,454.58","13,867,136"
"Jul 18, 2025","1,415.80","1,429.00","1,408.50","1,425.80","1,414.88","11,297,246"
"Jul 17, 2025","1,421.00","1,423.20","1,409.50","1,418.70","1,407.84","12,927,394"
"Jul 16, 2025","1,426.00","1,429.20","1,419.10","1,426.40","1,415.48","5,649,093"
"Jul 15, 2025","1,421.10","1,433.80","1,419.00","1,430.80","1,419.84","6,041,457"
"Jul 14, 2025","1,424.90","1,424.90","1,416.10","1,423.00","1,412.10","5,846,154"
"Jul 11, 2025","1,422.00","1,428.00","1,414.60","1,421.90","1,411.01","7,158,015"
"Jul 10, 2025","1,436.80","1,439.00","1,422.10","1,424.10","1,413.20","7,795,964"
"Jul 9, 2025","1,436.20","1,438.70","1,426.60","1,431.90","1,420.94","8,827,347"
"Jul 8, 2025","1,432.00","1,445.00","1,430.00","1,442.00","1,430.96","5,315,847"
"Jul 7, 2025","1,437.00","1,440.90","1,429.60","1,435.70","1,424.71","5,177,477"
"Jul 4, 2025","1,427.00","1,444.40","1,421.10","1,442.80","1,431.75","5,066,503"
"Jul 3, 2025","1,432.10","1,446.10","1,423.70","1,425.90","1,414.98","10,177,738"
"Jul 2, 2025","1,432.20","1,451.00","1,422.60","1,427.80","1,416.87","13,372,280"
"Jul 1, 2025","1,445.70","1,447.60","1,429.60","1,432.00","1,421.04","7,761,449"
"Jun 30, 2025","1,461.80","1,461.90","1,442.30","1,445.80","1,434.73","6,325,073"
"Jun 27, 2025","1,438.90","1,466.00","1,437.10","1,462.20","1,451.00","22,532,899"
"Jun 26, 2025","1,424.80","1,447.50","1,421.70","1,439.10","1,428.08","13,617,435"
"Jun 25, 2025","1,422.00","1,428.90","1,415.30","1,425.80","1,414.88","7,527,388"
"Jun 24, 2025","1,427.70","1,435.90","1,416.50","1,424.10","1,413.20","11,188,438"
"Jun 23, 2025","1,417.00","1,423.20","1,411.90","1,420.10","1,409.23","5,514,384"
"Jun 20, 2025","1,411.30","1,433.30","1,410.20","1,427.10","1,416.17","12,408,178"
